,funny,useful,review_id,text,business_id,ID_bus,stars,date,user_id,cool,polarity,subjectivity,burgers_sentiscore,burgers_total_business_score
38,6,5,MobpVzMrmw0iFZGli1KpSA,were wondering around central phoenix like usually knowing where feeling pizza metro wanted burger could sink teeth into drawing serious blank when shouted origional hamburger works puppy ears raise questioning manner quickly drove there adjacent phoenix college cool encanto vibe right next this paint ceramic pottery place that seemed cool when entered works huge inside there crazy signs from traffic lights coolest copper topped tables totally cavernous feel ahhh smell fresh cooking meat whoo through line that reminded castles coasters some older taco bells hmmm cute could necessary just imagine busy this place gets lunch time with college just right over there their burgers sounded pretty average terriyaki burger bacon cheese burgers theres crazy toppings that dont make sense like some places just straight great burger classics what different about menu looked that they retirement burger comes with boat sweet perfect sides burgers totally taste better boat only could find true since couldnt afford retirement burger opted patty topped with bacon cheese chose side order half zucchini onion rings threw down that night half pound patties with cheese cool enough hang with that went around corner through labrynth paid told chick name cups soda fountain area cool love iced section there were many options choose from sweetened black green raspberry unsweetened lovesit sisters happy creme soda found there when food ready walked wagon toppings buried burger with mounds lettuce mayo ketchup some tomatos tons pickles when done could barely mouth somehow managed yummy freshy cooked over fire great havent such good burger long time only complaint that wasnt sure about daily meal deals didnt until last second that sides small huge burgers baby sides almost much burger cool seriously people cool other diners there were tons yummy firemen when went also attached looks like awesome place drunk totally list places really enjoyed myself here crazy full huge burger baby side still cant believe could handle large double burger craziness definately back with more yelpers burgers marvel round circles bacon atop perfectly charred burger load toppings like bitch about small sides like each different types like maybe even beer dont fireman their hose like they just might booo they took their truck instead getting their trunks,_c3ixq9jYKxhLUB0czi0ug,_c3ixq9jYKxhLUB0czi0ug,4,39785.93833333333,9d52DhEbJQ1w5LXaZw4nzQ,3,0.14851322751322749,0.554037037037037,0.006993006993006993,0.006993006993006993
93,3,2,2JiZ1nUEGVrvTPcLblVJmQ,restauranting faint heart takes grit location street smarts perseverance flair capital wisdom taste charisma luck most importantly talent many more this review wannabes owner youre lacking these have know then have humility contract best really want give maizies chance been there times when comes down have remind myself that reason restaurant excellent food unfortunately maizies fails deliver this most important category first visit amusing impressive decided test their reputation good burgers like meat juicy after discussing preparation stuffed varieties settled cheeseburger with cheese side fries nothing special there typical flavored salt sprinkle chilis next time goat cheese pizza know thats real name after three bites power cheese covers everything else heard featured ingredients sheesh next time snacks enjoy corner sofa relax with cocktail shrimp dippers nothing special next visit this buffalo wing cheese thing without chicken supposedly ground inside cheese right thats what said when read menu comes like that midnight snack throw together dont care that youre missing ingredient like cereal with orange juice peanut butter mustard sandwich this case missing chicken wings probably tuna that inspired this recipe tureen spicy cheese served amidst plate full multi colored freshly made corn chips warmed pita triangles enough pita breads asked more extra them hate that antipasto salad served gigantic wooden salad bowl really makes feel like have placed front know prepare salad bowl please serve plate portion appropriate person ordering otherwise serves please drowned wine vinegar this would normally problem were soaked toasted hoagie roll that much vinegar should only used large mopping jobs could have made this myself with packet pepperonis even separated into individual slices just half dumped bowl happen head back bathroom find yourself waiting free youll staring straight into closet that kitchen very tight quarters excuse look what chris bianco does that little corner firehouse garage really dont want write maizies need hear that theyve hired read contracted someone with talent ingredients together very special until then wont back,NPiLy71qqXzb45k9eQOgCQ,NPiLy71qqXzb45k9eQOgCQ,2,39679.25644675926,TYCkjEHPSJSnFb6m6GDluw,3,0.14309163059163063,0.4683694083694084,0.02097902097902098,0.1048951048951049
122,0,2,F7FJgVn7fTyVBTLAPRU1NQ,maizies used weekly staple huge capicolla maizies features salad milano chef mikes favorite pizza that load their burgers were also list score grabbed about take from maizies other around hour before close included chef mikes favorite pizza beyond what restaurant should good conscious serve entire pizza burnt covered garlic several layers thick with pyramids garlic some spots there were sections piled half centimeter high garlic like garlic come only disappointingly inedible pungent actually removed from house immediately tainted other food maizies regular pretty quiet keep myself well take dine cant imagine that might have offended someone works here this beyond what would consider just accident there just ever could have gotten past even rudimentary quality control single dining experience noteworthy that completely turned this place stars because good before amazingly,NPiLy71qqXzb45k9eQOgCQ,NPiLy71qqXzb45k9eQOgCQ,2,40692.028136574074,V1i9tP_tUpKYQZaukTwjdg,0,0.10312629399585922,0.5274438604873387,0.0,0.1048951048951049
244,5,7,8kIA4qehjIgF9F6cFUeJJw,theres something about vibe maizies that feels comfortable feels retro flashback indiana late early maybe giant bowls they serve salads they make think pizza after softball game circa here some things like best about maizies wingless buffalo deadly mean that good should late night menu gotta mostly cream cheese wrong fries good potato cakes frickin awesome thick mounds really yummy mashed potatoes with hint horseradish barely browned either side inside burgers literally filled with items described fave feta burger stuffed with feta cheese dried tomatoes served with thimble full chipotle humus that packs slight punch great burger bizarre that sounds,NPiLy71qqXzb45k9eQOgCQ,NPiLy71qqXzb45k9eQOgCQ,4,39787.15375,u0JoB0Vm1ZhwF8nysxPnfg,7,0.18731060606060607,0.5740530303030302,0.0,0.1048951048951049
268,0,0,PP9jpEBSJM1lMpCl1C-oMA,green love thee count ways vegan have plethora choices from have worry about what made with vegan tsoynamis said vegan crab puffs have specials that change time just wish would make about these specials permanent menu items love some them much depresses when they longer available example chicken schwarma wrap would kill that menu favorite thing ever most your staff some coolest people ever always remember nice when staff remember your favorite specials also helps that husband have been here least times last year dont just make choose from measly salads have sandwiches pizza pasta bowls appetizers chicken mexicali burgers greatest things ever relatively close house dont have trek miles there decide want have worry about making before close have store market where feel need pick vegan cheese there tons reasons here whether vegan have this place amazing matter what menu will disappointed,5FIOXmUE3qMviX9GafGH-Q,5FIOXmUE3qMviX9GafGH-Q,5,40624.97804398148,LHdpvgOYNQj4Jo-K51Bf6g,0,0.12685185185185185,0.637962962962963,0.006993006993006993,0.04895104895104895
284,0,2,XeT6oJsXSsK53bsqy6QJzA,great food great selection nice variety beer crazy delicious sangria burgers yummy toppings inside burgers pizza excellent service always quick patrons friendly like little neighborhood hangout,NPiLy71qqXzb45k9eQOgCQ,NPiLy71qqXzb45k9eQOgCQ,5,40940.98479166667,,0,0.45787037037037037,0.7666666666666667,0.006993006993006993,0.1048951048951049
438,0,0,nLEbBTr-hCl5wZEzQCDIlA,time there kind knew what expect practically only vegan place around town unless count those ethiopian places like green effort tastes ambiance variety pretty good ranging from salads pizzas burgers boys noodles this time mexicali burger lady friend spicy peanut sause noodles with pretty much like thai noodle bowl with mock chicken burger patty more ground meat texture than patty broke apart easily flavor wasnt really there took ketchup siracha sauce bring fries however very very good thin light crispy definitely highlight that meal thai noodles pretty good mock chicken very good good texture itdare almost like chicken only complaint price really dont what portions small tofu mock meat between still relatively inexpensive entrees about could more fries noodles vegies that much another complaint didnt save enough room tsoynami creams they looked absolutely delish next time next time pros only vegan town flavorful with good selection dishes cute decor cons meals small that,5FIOXmUE3qMviX9GafGH-Q,5FIOXmUE3qMviX9GafGH-Q,4,41090.0496875,TxkOmAlrA8yUls-_YSkpJg,0,0.15684684684684688,0.6025225225225223,0.0,0.04895104895104895
440,4,6,132BGmD5yiQICPSOACOQNA,desperate need happy hour last week after running through regular choices kristin melissa suggested that maizies first arrive scored limited parking spots front greeted warmly multiple staff members escorted table back love quaint modern space exactly design aesthetic that enjoy their menu large inviting sandwiches burgers pizzas salads perfect casual cuisine happy hour wine select appetizers draft only their standard starters were excluded happy hour special which still leaves with least choices settled spinach salsa pesto bruchetta spinach came piping which foolishly burned tongue forgiven with cold glass riesling also tried their soup which french onion delish left wanting more dont know three glasses wine fact that maizies that good raved home husband promised take there soon,NPiLy71qqXzb45k9eQOgCQ,NPiLy71qqXzb45k9eQOgCQ,4,39791.051712962966,YX98pz7G4n0wqMmyfmxYuQ,5,0.18076923076923074,0.4860171879402649,0.006993006993006993,0.1048951048951049
611,1,0,,been coming here about best wings town cant wrong with burgerspizza fries bartenders friendly they short staffed amount people working here they done crowd always entertainment never know what type people will come everyone friendly keeps themself good dive your looking clean star food youre wrong neighborhood,x_bhc4U_e6lv7Dat2WV04w,x_bhc4U_e6lv7Dat2WV04w,5,42039.056122685186,eJ_4lUoq0giTgTn4-nlU_w,0,0.2270833333333333,0.5875,0.0,0.006993006993006993
691,3,5,,green amazing best veggie vegan restaurant have ever been atmosphere food great highly recommend chicken sandwich they have special espresso sauce thyme fries also really really amazing this healthy veggie place they have asian dishes most their dishes comfort food they have vegan pizzas chicken sandwiches meatball sandwiches fries buffalo wings type stuff most vegetarians vegas crave know sick eating pasta veggie burgers time regular type foods again without spending hours cooking them fortunately live about five minutes from here keep going back trying more items,5FIOXmUE3qMviX9GafGH-Q,5FIOXmUE3qMviX9GafGH-Q,5,39685.995787037034,rA97zeqOrUYuEM69n0Xn4w,4,0.19662337662337662,0.5330830280830281,0.0,0.04895104895104895
