,funny,useful,review_id,text,business_id,ID_bus,stars,date,user_id,cool,polarity,subjectivity,food_sentiscore,food_total_business_score
1,3,5,1Wmqy1NvEt62EX7VMo4MLw,large cheese pizza while waited observed following phones have most germs them almost anything young grating cheese played with smartphone typing messages replaced pocket continued handling cheese without washing hands using plastic gloves young lady cleaning dirty tables with spray problem except when done spray bottle didnt bother washing hands either went immediately handling food items back pizza fine barely enough cheese cover fair price previous visit gyro sandwich found very gooey much flavor meat last visit will pizza prices fair what they offering problem lack being sanitary,gp9ZESRRNLqWfgJtEzPThA,gp9ZESRRNLqWfgJtEzPThA,3,42109.24077546296,GlE1lWuyNz-bE2N9B_M23w,1,0.1576190476190476,0.4107936507936508,0.0,0.0015817779183802593
12,0,1,UF-JqzMczZ8vvp_4tPK3bQ,amazing steak cheese better than philly have ever takes little while order your food thats cause good great pizza,r5PLDU-4mSbde5XekTXSCA,r5PLDU-4mSbde5XekTXSCA,5,40622.04010416667,slfi6gf_qEYTXy90Sw93sg,0,0.48250000000000004,0.65,0.00031635558367605187,0.03353369186966151
17,0,4,pttUGooKwqv3gpTQHexPpA,this place friendly were greeted nice gentleman that walked area very friendly gave information golf screen then minutes later were greeted lauren what kind drinks food would like order continued check frequently made experience that much better ordered pizza flatbread chips with salsa guacamole french fries with ranch also ordered drinks that were brought very quickly never look anyone order next appetizers ordered were delicious came quickly well hour golf experience with some great views also living arizona very they everything they make forget actually keeping cool with misters fans will back next time will bringing,1qwkbN3wu3AGDxMTXVz2gA,1qwkbN3wu3AGDxMTXVz2gA,5,43248.90986111111,Za04ZUz8FQYyG67Mmg50Hw,3,0.2849537037037037,0.43333333333333335,0.00031635558367605187,0.0015817779183802593
19,0,0,5h9oxGH_gglkfCamnIZmxA,this overall pretty went with high hopes fresh ingredients lots ofyou know herbs flavors server kind attentive salad that monkey could prepare well giving stars those successes salad flavor besides olives apart from standard side salad youd free lobster similar cheap chain beets were just beets bowl absolutely flavor margarita pizza friend shocking considering this being advertised mediterranean italian fusion spot didnt have heart send back clearly cheap poorly previously made frozen pizza that they tried disguise throwing couple slices tomato sprinkles unfrozen note that using word fresh cheese starving swallowed parts pieces then took rest home thinking husband father would since theyll almost anything especially pizza form even they wouldnt that trash hate writing reviews without talking staff give them opportunity pretty clear that there pride care given foods served there waiters fault chef that allowed that kind food sent table would make fresh pizza flavorful second batch beets sent them back,PWW_jT4tHP_r1S18ePJyTQ,PWW_jT4tHP_r1S18ePJyTQ,2,41712.181284722225,hBjIZFUXyP_toUSlqMjpIQ,0,0.10166666666666666,0.5265384615384615,0.0,0.0037962670041126224
22,0,0,6o3s7ZfAEX8SDUb6XOkjTw,this place always crazy busy good reason havent thing menu their pizza magnificent priecy however size especially personal pizza which overpriced single persons meal pasta what usually pasta favorite followed pesto drink sandwich menu great lunch withe italian sausage being favorite come early table since they dont take call aheads reservations indoor seating nice noisy outside heated lovely time nice here especially with small parties with always quick available seating come here good food,dUffgo9Lh_Vk9TLuFR5ywg,dUffgo9Lh_Vk9TLuFR5ywg,5,40940.14944444445,6PAyq60TXOsTySMr3FEhlw,0,0.26961451247165535,0.6006802721088436,0.00031635558367605187,0.032584625118633366
25,2,5,YWsA6S2aQQKE6k0BByZOLw,giving this place star because zero option this worst family event location they harassed children manager meghann mcbryan using foul language around children then they nerve kick ordering pizza from somewhere else only that because their food options were terrible expect hear from someone this business because spent good money here some woman insult,0Oskle2GkyYMseuJ3TDwRA,0Oskle2GkyYMseuJ3TDwRA,1,42619.07755787037,pQ1cvD3CsqR4AAcgLUBA6w,1,-0.28,0.74,-0.00031635558367605187,0.0006327111673521037
31,0,1,h4-uQBfWe7G0f8IC0WZxVg,happy found this wifey were scottsdale approximately seconds work were starving took yelp found bosco tucked away unassuming pizza decadent some best pizza ever restaurant itself small decor outdoor patio gorgeous great service great food dream about prosciutto goat cheese pizza,5ykOWYZ44sUvu9qxD8rPeg,5ykOWYZ44sUvu9qxD8rPeg,5,42081.79856481482,FhnFEr3v1VeEiFxcIrbWSQ,0,0.4928571428571429,0.6714285714285715,0.0006327111673521037,0.034482758620689676
32,0,1,mvhsBAGz3VbJ0agY7uN3Ww,love this place looking great italian food homemade sangria need staff friendly that family owned feeling when there pizza must this quickly became when joining with friends dinner fact will going again tomorrow night,EgwGTDZ705TwudPJwAY0yQ,EgwGTDZ705TwudPJwAY0yQ,5,43335.9987962963,B9u27ovHgR0R41TBj9EEGw,0,0.40166666666666667,0.47000000000000003,0.00031635558367605187,0.010123378677633658
37,0,0,YwL_e4KPyQCYEtv5Q19rfQ,lovely quaint place away from usual scottsdale shea crowd great pizza amazing service attention detail proprietor warm friendly knows italian food,5ykOWYZ44sUvu9qxD8rPeg,5ykOWYZ44sUvu9qxD8rPeg,5,42067.89585648148,PhHW177DiDJ_GL2I5xcd-A,0,0.375,0.5357142857142857,0.00031635558367605187,0.034482758620689676
38,6,5,MobpVzMrmw0iFZGli1KpSA,were wondering around central phoenix like usually knowing where feeling pizza metro wanted burger could sink teeth into drawing serious blank when shouted origional hamburger works puppy ears raise questioning manner quickly drove there adjacent phoenix college cool encanto vibe right next this paint ceramic pottery place that seemed cool when entered works huge inside there crazy signs from traffic lights coolest copper topped tables totally cavernous feel ahhh smell fresh cooking meat whoo through line that reminded castles coasters some older taco bells hmmm cute could necessary just imagine busy this place gets lunch time with college just right over there their burgers sounded pretty average terriyaki burger bacon cheese burgers theres crazy toppings that dont make sense like some places just straight great burger classics what different about menu looked that they retirement burger comes with boat sweet perfect sides burgers totally taste better boat only could find true since couldnt afford retirement burger opted patty topped with bacon cheese chose side order half zucchini onion rings threw down that night half pound patties with cheese cool enough hang with that went around corner through labrynth paid told chick name cups soda fountain area cool love iced section there were many options choose from sweetened black green raspberry unsweetened lovesit sisters happy creme soda found there when food ready walked wagon toppings buried burger with mounds lettuce mayo ketchup some tomatos tons pickles when done could barely mouth somehow managed yummy freshy cooked over fire great havent such good burger long time only complaint that wasnt sure about daily meal deals didnt until last second that sides small huge burgers baby sides almost much burger cool seriously people cool other diners there were tons yummy firemen when went also attached looks like awesome place drunk totally list places really enjoyed myself here crazy full huge burger baby side still cant believe could handle large double burger craziness definately back with more yelpers burgers marvel round circles bacon atop perfectly charred burger load toppings like bitch about small sides like each different types like maybe even beer dont fireman their hose like they just might booo they took their truck instead getting their trunks,_c3ixq9jYKxhLUB0czi0ug,_c3ixq9jYKxhLUB0czi0ug,4,39785.93833333333,9d52DhEbJQ1w5LXaZw4nzQ,3,0.14851322751322749,0.554037037037037,0.00031635558367605187,0.0006327111673521037
