	funny	useful	review_id	text	business_id	ID_bus	stars	date	user_id	cool	total_sentiment	italian_sentiscore	italian_total_business_score
988	0	0	UxWE6RoCh7NMb5oyH8KN7Q	best italian deli ever outstanding pastas like lasagne great raviolis sandwhichs that amazing great pizza also great desserts like great cannolis lemon bars	r5PLDU-4mSbde5XekTXSCA	r5PLDU-4mSbde5XekTXSCA	5	42622.208645833336	GS_dUwiLit1qo37qpLatmA	0	Sentiment(polarity=0.6625, subjectivity=0.634375)	0.011111111111111112	0.14444444444444443
6996	0	1	2A-SEBrJ7cx0e-lrEIk0Wg	best italian pizza calzones that weve wife loves spinach calzonei love meaty pizza great atmosphere family	RztX0zV7ObHZD08SDUhI0Q	RztX0zV7ObHZD08SDUhI0Q	5	43208.08435185185	zQvvbqM8B1OQfX6MVSR4Mw	1	Sentiment(polarity=0.575, subjectivity=0.4125)	0.0	0.011111111111111112
8940	0	0	g_5Nf6qHlN4B08OHyQNH3g	this location digestifi think great transformation authentic italian dishes from scratch featuring mushroom truffle risotto that polenta dishes they also have their very house pizza oven pizzas also delicious have been times love wine list cuisine service great atmosphere sexy	be9JlSE_-Hbl1ufM6UsTcQ	be9JlSE_-Hbl1ufM6UsTcQ	4	40065.90457175926	0sowE0RblpMePcftm4s32w	0	Sentiment(polarity=0.5375, subjectivity=0.64375)	0.011111111111111112	0.011111111111111112
729	0	0	V3kJlyjl3oE3XJoeNoAn_A	theres something that screams comfort food about this placeitalian comfort food almost like home cooked meal your italian relatives prices very reasonable food exceeds that price point their meatball delicious tastes very authentic pizza delicious well server also very sweet attentive overall great food great price	7eQoxWr9RzyCB9IFvqHUPA	7eQoxWr9RzyCB9IFvqHUPA	4	41893.70596064815	lJaMhVl641JJhTZhR3s_EQ	0	Sentiment(polarity=0.5365, subjectivity=0.7)	0.0	0.05555555555555555
2039	0	0	wviJ2epAgxzcEf2KtnjkDQ	favorite pizza place town opinion superior grimaldis biancos then again pizzeria preference most subjective there great vibe great pizza great italian wine selection great appetizers crostini prosciutto great service there only wood fired oven when place packed illogical assume pizza will come fast	jG1jcAeDw0pZTHCNC5kw_w	jG1jcAeDw0pZTHCNC5kw_w	5	39614.28806712963	zJA8ZSsJhtQ3VE96jjhHnA	1	Sentiment(polarity=0.5363636363636363, subjectivity=0.7045454545454546)	0.03333333333333333	0.08888888888888889
387	0	0	xqqRIHzTEU4oDnyX3IundQ	were hunt best pizza town father lives here with wife foodies pizza here delish actually think pasta where best lasagna life here good inspired make homemade lasagna home from scratch even cheese found pizza tasty definitely satisfying dough wasnt flavorful others sauce didnt give that warm sweet feeling definitely good advice here entrees pastas appetizers plus they have legit italian cherry soda their chocolate cake creme brulee outstanding	cs1qJvnWUg_f8g020z_3PQ	cs1qJvnWUg_f8g020z_3PQ	5	42776.780543981484	aqIPyOl2afUF5NSy5JANfQ	0	Sentiment(polarity=0.535, subjectivity=0.5025000000000001)	0.0	0.022222222222222223
4256	0	0	PA4tSfLIav5KjIFoSf_WXg	awesome everything amazing pizza sandwiches salads never anything that wasnt amazing owners work their restaurant they best staff friendly efficient works pizza french italian sandwiches favorites they even make giant oatmeal cookies that best anyone doesnt give this place stars needs give another chance this place rocks	pCWg4B0R5gauQR4SJ9VDmw	pCWg4B0R5gauQR4SJ9VDmw	5	43170.787453703706	kNFdBFH9L3wtpmuptKEtDw	0	Sentiment(polarity=0.5083333333333333, subjectivity=0.5444444444444444)	0.011111111111111112	0.05555555555555555
1236	0	0	07xBCfpSms-xhuQ9_bsQuQ	very best italian pizza phoenix take everyone that comes town here biaggia	5ykOWYZ44sUvu9qxD8rPeg	5ykOWYZ44sUvu9qxD8rPeg	5	41769.67655092593	i6CpsZNNOYk-gVArxhBvVA	0	Sentiment(polarity=0.5, subjectivity=0.195)	0.0	0.03333333333333333
6968	1	1	iKZTqsnRM0NFvd-mWC5gLw	spinatos well done well done okay since yelping this based experience foodamazing signature mamasomething somethingpizza ordered with some italian sausage since doesnt come with meat well pizza came amazingbut sausage imagine sausage would have been happy dough garlic dough which makes delicious really loved strong garlic essence coming pizza flavors mingled together perfectly create sensational bite corner pieces they best sauce sweet which turned into different beast pizza either loved would have loved more with italian sausage waitress admitted forgot that order made with discount awesome offered didnt even take back anything because this point were hungry wait again service little awkward times great none less their desserts really good well canolli connoisseur this delicious would easily blow paycheck here they wings toobut pizza good enough half paycheck	RztX0zV7ObHZD08SDUhI0Q	RztX0zV7ObHZD08SDUhI0Q	4	40915.06896990741	N-Sy8I9byR2Q2gTI99nKxQ	1	Sentiment(polarity=0.43935185185185194, subjectivity=0.606172839506173)	0.011111111111111112	0.011111111111111112
2786	0	0	PeFlMw5BzEPYtSafEytWDA	pizza above average cheese calzone delicious veggie sandwich great italian bread alone worth trip their wines some best weve especially price staff very friendly accommodating stop great friday night dinner wont regret	r5PLDU-4mSbde5XekTXSCA	r5PLDU-4mSbde5XekTXSCA	4	41794.73883101852	OpngzbhHiQKRn9sV4_9erA	0	Sentiment(polarity=0.42374999999999996, subjectivity=0.505)	0.022222222222222223	0.14444444444444443
