,funny,useful,review_id,text,business_id,ID_bus,stars,date,user_id,cool,polarity,subjectivity,restaurants_sentiscore,restaurants_total_business_score
133,0,0,y78b0o6R1ZB0lLEUKauLvg,generally chain restaurants chain restaurants good cheesy both food sense humor food portions huge taste pretty good price points good service friendly this place always packed prepared wait they have pizza please both fans thin crust thick although thick crust pizza prepared wait always wedding soup which delicious with meatballs small bits pasta chicken broth salty which makes super happy youre brave pizza cookie they have different kinds pizza dough topped with vanilla cream,dUffgo9Lh_Vk9TLuFR5ywg,dUffgo9Lh_Vk9TLuFR5ywg,4,40552.871354166666,S5dGv1vID1hoBZm2A9fK5g,0,0.20879629629629626,0.7287037037037035,0.0,0.02564102564102564
142,0,0,HVF_mdpJWtSrtSnz5zw5sQ,this easily best pizza restaurants have ever been staff very friendly knew names majority people walking through door truly best have ever just started working next this place will visiting often,pCWg4B0R5gauQR4SJ9VDmw,pCWg4B0R5gauQR4SJ9VDmw,5,43326.78,zRWBhvkKCzGw7BXAhwueIA,0,0.621875,0.3125,0.003205128205128205,0.0
179,0,0,iMG368SWzyouf66o-gsfRw,this best pizza ever weve tried many pizza restaurants this place without doubt star owner compassionate about establishment that attitude shows service quality food have pizza italy youll same quality here this restaurant real deal,cs1qJvnWUg_f8g020z_3PQ,cs1qJvnWUg_f8g020z_3PQ,5,41572.07420138889,vkWwNxS2G8uIJNkgK3ocHQ,0,0.425,0.30625,0.0,0.035256410256410256
213,0,0,klxhvAg_oYUhhWVi-uUbVg,four severs smiled greeted with hello welcome table server would with karina among best ever anywhere travel work four five star restaurants when have this kind experience casual eatery deal garlic cilantro parmesean wings were literally life altering main course pizza numero sensational when were ready leave asked manager told about great experience gave salted caramel pizza cookie still orbit cant wait back,dUffgo9Lh_Vk9TLuFR5ywg,dUffgo9Lh_Vk9TLuFR5ywg,5,42657.27712962963,,0,0.4333333333333333,0.5416666666666667,0.0,0.02564102564102564
224,1,1,KSfTYooYt--pRbqKIkEtgg,love everything about this place except long drive from house they opened cenpho location would heaven however always well worth drive where start normally stick things menu most restaurants this place many good ones bounce around first salads currently obsessed with spicy peanut chicken salad also love green saladsimple light tasty sandwiches spicy boylove bowls kung favorite also like spicy peanut bowl they actually both very similar though either great pizza westerndelish probably best part greenthe soynami several amazing better than other soft serve option throwing down gullet before began vegan sometimes they even have wedding cake soynami ever this menu could forget appshummus wings favorite this place very reasonably priced meals soynami about bucks staff always super nice friendly service always fast atmosphere pretty funky cool although might this from outside just inside youll fine weve also been there july thanksgiving both were awesome everyone thinks vegans badly thanksgiving with dead bird couldnt imagine anyone loving greens thanksgiving meals there enjoy,5FIOXmUE3qMviX9GafGH-Q,5FIOXmUE3qMviX9GafGH-Q,5,40458.81728009259,Gfw63_PbeMMcu8N0PqgMHg,1,0.25780626780626775,0.578988603988604,0.0,0.003205128205128205
236,0,2,zUt2Cdn4jY13MRjAjOl7iA,after restaurants with prepared owner came went nice folks centurion making results good place tried safe note will more adventurous back italian burger came with nice simple salad with strawberry balsamic dressing burger stacked with proscietta well made bland have more impressed with originality salad then plain choice burger good friend margharite pizza tasty maybe more spinach would have even better vegetarian lastly another friend ordered mussels dish loved wine mine imported cava somewhat pricey champagne glass flute burger patio which come along from previous restaurant versions this location inside looked nice think twice about blasting inappropriate rock music this tiny bistro like room putting glad quiet street there been tables open outside would have stayed service great paced attentive feel like this family project which will come back other dishes wines unique feature that wines imports kinda neat roosevelt grow,pKiSzUlBBRNEdTML24piXA,pKiSzUlBBRNEdTML24piXA,3,40461.82498842593,NoAmYkQqj_wNGr1-MRBNog,0,0.31007936507936507,0.5529761904761905,0.0,-0.003205128205128205
257,0,1,Xhq2lPpn1kSKJqUr1Sy2GA,jersey girl used sauce gravy great pizza meatballs served people with italian accents because they from italy this best italian restaurants have enjoyed food real italian focus pasta meat tons mozz chicken with peppers lovely chicken falling bone husband bolognese real thing with carrots base father best sausage cauliflower cavatelli homemade noodles want take this restaurant back home show mozz crowd what italian food they source from local farmers five stars plus,cs1qJvnWUg_f8g020z_3PQ,cs1qJvnWUg_f8g020z_3PQ,5,41191.11798611111,xixaujsCWefs3WU8m9A5uQ,1,0.1333333333333333,0.4,0.00641025641025641,0.035256410256410256
259,0,1,sJvtajSToWF6ZXTZlXpw0g,went wednesday night with family experience ordered food consisted baked pesto pasta which good spectacular spectacular little cousins wanted ridiculous dollar holy mother pizza pies server asked this first time here warned that would take minutes know that thanks pointing that certified noob here oreganos stomach almost screamed ohnoyoudidnt hand immediately snatched back menu going straight appetizers boom pretty good four people enough probably favorite dish night since could actually taste chunks artichoke unlike usual artichoke dips that taste like paid bucks cents straight melted mozzarella some reason server decided torture serving both pasta same time pizza even though asked after arduous hour waiting where ready part crowd like moses cherry blossoms instead monster came could pile cheese dripping fatty this goes beyond paula deen buttah level cousins agreed that could have gone pizza same delicious pizza eaten more boxes time waited then little cousins wanted desert they wanted pizookie wish waiter warned ahead time that going another esque minutes actually minutes after ordering time table were full tired being restaurant long restaurant thats small would think food would come faster least they would train their servers more careful about warning customers about time takes certain foods come like other restaurants,dUffgo9Lh_Vk9TLuFR5ywg,dUffgo9Lh_Vk9TLuFR5ywg,3,41088.203252314815,sYPuLHkyWjOjjNPYgrkt-Q,0,0.12443977591036418,0.5199929971988796,0.003205128205128205,0.02564102564102564
270,0,0,upCsX7EzKgqMtUN6PwhMWw,this first time fired craving pizza pretty late hour when they came search places that open that time looked their menu advance their pizzas looked amazing they decent amount choices apart from pizzas well decided with chicken pesto pizza been favorite kind pizza other restaurants would give good standard comparison will definitely that their food amount largest have experienced still pretty hungry after their thin crust pizza however quality food great tasted delicious looking forward trying other types pizza they have including build your kind well their desserts which sounded pretty yummy based what heard that,iNbAht5CVY4KH_cympbHMA,iNbAht5CVY4KH_cympbHMA,4,43249.19938657407,Hh5ZtUanXTARKJ6Bwnj8RA,0,0.24841269841269842,0.719047619047619,0.003205128205128205,0.00641025641025641
283,0,0,cc8V6kbMgmGj9H1QP4z7-A,dont think every experience favorite barbeque chicken salad there alot restaurants that duplicate this recipe never achieve along from that margarita pizza also delicious there many choose from,MVg8_dWzoCtGjBvWCatjjQ,MVg8_dWzoCtGjBvWCatjjQ,4,40880.23359953704,aKY4eFOJeCaXnw1jGPozTw,0,0.35,0.8625,0.0,0.0
