,funny,useful,review_id,text,business_id,ID_bus,stars,date,user_id,cool,polarity,subjectivity,salad_sentiscore,salad_total_business_score
6,4,8,wjtpC1_-RNPyOnrQQ62lDg,stars means agree with that however what putting them from solid value service seriously chopped caesar salad happy hour that includes half starters pizzas glasses wine real with that being said great time marcellas folks chain decent chain with only locations ohio straight forward menu makes easy navigation helpful suggestive service more than enough make decisions easy okay kinda freaked when heard half starts pizzas ordered much worth started with meaty sicilian pizza topped with capacola salami meatballs asiago cheese onion which probably favorite crust thin crunchy flavors meats cheese really were balanced could taste each with bite after next beef carpaccio close runner with thinly shaved rare beef toasted capers wild arugula flavors were bright thanks part lemon aioli braised veal meatball light tender wanted order another entree rather than gnocchi bolognese problem with gnocchi gnocchi themselves kind like eating biscuit dough lamb bolognese simple delicious chicken parmesan served like with both alfredo tomato sauce only wish that just more sauce could house ciabatta extra desserts kept simple like rest menu shared with cherry crustada crust light flaky cherries filling slightly tart cream rich creamy pant pant this certainly pleasant experience with welcoming laid back feel generous portions affordable pricing they also opentablecom free online reservations definitely,5SEwzlWlrxSVyZx3IgXwLg,5SEwzlWlrxSVyZx3IgXwLg,4,40099.147986111115,p_azadim_uWFOXAhhKB3ag,7,0.20752032520325203,0.5714866434378629,0.000588235294117647,0.001764705882352941
15,0,0,z-wvwV7tL2_RaRbTUCu-2w,definitely best barros location been always consistent clean pleasant employees with great customer service they crazy busy still smiling attentive usually veggie pizza veggie salad cheesy bread which been super bomb nice here watch football game sometimes take break from busy loud sunday football bars miss living tempe this location other ones compare,ygZSfAsnlztdeWZOlJA2Ug,ygZSfAsnlztdeWZOlJA2Ug,5,43368.21836805555,QPS8x5UbSNbVhZUQA7WHGg,0,0.18177083333333338,0.6161458333333335,-0.000588235294117647,0.0
19,0,0,5h9oxGH_gglkfCamnIZmxA,this overall pretty went with high hopes fresh ingredients lots ofyou know herbs flavors server kind attentive salad that monkey could prepare well giving stars those successes salad flavor besides olives apart from standard side salad youd free lobster similar cheap chain beets were just beets bowl absolutely flavor margarita pizza friend shocking considering this being advertised mediterranean italian fusion spot didnt have heart send back clearly cheap poorly previously made frozen pizza that they tried disguise throwing couple slices tomato sprinkles unfrozen note that using word fresh cheese starving swallowed parts pieces then took rest home thinking husband father would since theyll almost anything especially pizza form even they wouldnt that trash hate writing reviews without talking staff give them opportunity pretty clear that there pride care given foods served there waiters fault chef that allowed that kind food sent table would make fresh pizza flavorful second batch beets sent them back,PWW_jT4tHP_r1S18ePJyTQ,PWW_jT4tHP_r1S18ePJyTQ,2,41712.181284722225,hBjIZFUXyP_toUSlqMjpIQ,0,0.10166666666666666,0.5265384615384615,0.000588235294117647,0.0035294117647058825
34,0,0,zPxjTzL1_I_cTS_MF99ubQ,pita jungle great love their salads mediterranean chicken salad absolute fave their broiled chicken salad also good youre looking something little more simple frequently order these have also their lavosh pizza which tasty starters cant pita jungle their hummus pita best hummus flavors regular cilantro ones also their spanakopita fillo dough with spinach feta which great cant good enjoy both dining takeout either lunch dinner keep mind eating inside here gets pretty loud weather nice would suggest eating patio,BgthHqiXot2s4Sd_xcI6DQ,BgthHqiXot2s4Sd_xcI6DQ,4,40940.25581018518,midS4e50ZmuOeGyNm3aoUg,0,0.2923611111111111,0.6352258852258852,0.000588235294117647,0.005882352941176471
53,0,1,qYPKqJXScqxjS-kTvb5IuA,appreciate vegan option menu while pretty much anything across board enough dining buddies have restrictions that made less hassle with this menu been times through years always happy with service pizza recently weve them deliver office times because gasp mood pizza small salad breadsticks everything been fresh quality presentation solid consistently happy camper definitely nice place have work home area much better than chains,7eQoxWr9RzyCB9IFvqHUPA,7eQoxWr9RzyCB9IFvqHUPA,4,41401.344039351854,B7AjB8W2BWJtXPjweJs9pw,1,0.2527777777777778,0.5430555555555555,0.0,0.013529411764705884
58,0,1,YA7RdxNonbrxJwApR6Mbmg,huge garbanzo mediterranean restaurant with chipotle style ordering that previously occupied this space when yelp emailed about restaurant near excited similar concept taken place instead garbanzos customization pita bowl plate order from menu hummus plates pitas rice protein plates salads focaccia pizzas food just tasty fairly portioned ordered steak pita because seemed most well rounded choice wish came with more light garlicky tzatziki sauce ordered extra hummus side which covered sauce craving since work close this location absolutely back play with more combinations perfect ratio protein veggies pita hummus,ksZfCKQHYdCu0e8KbMuBDg,ksZfCKQHYdCu0e8KbMuBDg,4,42975.854537037034,esUXRi_bUflUmDO4tyw6RQ,1,0.33141025641025645,0.5243589743589744,0.0,-0.000588235294117647
87,0,0,AdQFQBTdlvbDL_ib5MzLGQ,salad tasteless eggplant starter pizza much taste there either place itself nice relaxing,ILA41PhErg4bl1royzDX4g,ILA41PhErg4bl1royzDX4g,3,42821.10591435185,vDVaraT66beNuv70tNDj5A,0,0.06666666666666667,0.7000000000000001,0.0,0.0
89,0,0,JQSAE4TQkwDGM9J-b76ubA,pizza okay pizza fair amount cheese sauce which like crust tough chewy sauce little sweet came with salad which decent homemade dressing tiramisu ordered dessert bland tasteless,83cVpTJNyzv9lJ20vzBgdg,83cVpTJNyzv9lJ20vzBgdg,3,42924.885567129626,GowYMkTI6z_9Ds3oTX1b7Q,0,0.04670138888888889,0.7229166666666667,0.001176470588235294,0.002352941176470588
93,3,2,2JiZ1nUEGVrvTPcLblVJmQ,restauranting faint heart takes grit location street smarts perseverance flair capital wisdom taste charisma luck most importantly talent many more this review wannabes owner youre lacking these have know then have humility contract best really want give maizies chance been there times when comes down have remind myself that reason restaurant excellent food unfortunately maizies fails deliver this most important category first visit amusing impressive decided test their reputation good burgers like meat juicy after discussing preparation stuffed varieties settled cheeseburger with cheese side fries nothing special there typical flavored salt sprinkle chilis next time goat cheese pizza know thats real name after three bites power cheese covers everything else heard featured ingredients sheesh next time snacks enjoy corner sofa relax with cocktail shrimp dippers nothing special next visit this buffalo wing cheese thing without chicken supposedly ground inside cheese right thats what said when read menu comes like that midnight snack throw together dont care that youre missing ingredient like cereal with orange juice peanut butter mustard sandwich this case missing chicken wings probably tuna that inspired this recipe tureen spicy cheese served amidst plate full multi colored freshly made corn chips warmed pita triangles enough pita breads asked more extra them hate that antipasto salad served gigantic wooden salad bowl really makes feel like have placed front know prepare salad bowl please serve plate portion appropriate person ordering otherwise serves please drowned wine vinegar this would normally problem were soaked toasted hoagie roll that much vinegar should only used large mopping jobs could have made this myself with packet pepperonis even separated into individual slices just half dumped bowl happen head back bathroom find yourself waiting free youll staring straight into closet that kitchen very tight quarters excuse look what chris bianco does that little corner firehouse garage really dont want write maizies need hear that theyve hired read contracted someone with talent ingredients together very special until then wont back,NPiLy71qqXzb45k9eQOgCQ,NPiLy71qqXzb45k9eQOgCQ,2,39679.25644675926,TYCkjEHPSJSnFb6m6GDluw,3,0.14309163059163063,0.4683694083694084,0.0,0.0029411764705882353
99,0,0,6pb_WKWpbEUYGbi-MMiTSg,need reservations dinner insidebut walk theres common fire area chill just shove enjoygreat menusweet server mirandanice ambiancerelaxed firepitnice salad pizza sangria enjoygood musicwed come backthx,wUKzaS1MHg94RGM6z8u9mw,wUKzaS1MHg94RGM6z8u9mw,5,43163.13957175926,-5axNm7DWUmSHj8Y_1sV1A,0,-0.3,0.5,0.0,0.004705882352941177
