,funny,useful,review_id,text,business_id,ID_bus,stars,date,user_id,cool,polarity,subjectivity,sandwiches_sentiscore,sandwiches_total_business_score
60,0,2,NAYPCgJGdgPHDalo8Gm92A,have been wanting food pizza heaven since moved phoenix from east valley first experience good called order lady answered rude food supposed ready about that case guys gave brother piece pizza sample since were waiting long apparently there some confusion about order being pick delivery after called order food magically appeared sitting oven angry when into vegan delight anger subsided best vegan sausage vegan cheese have ever tasted husband fell love vegan menu embarrassed went there week that good picked same pizza nights later then dined waiter phenomenal like lady answers phones vegan starter veggies bread delish think called mediterranean medley next time husband picked vegan sandwiches veggie ball sandwich this world food fantastic they could just give phone answerer attitude adjustment this place would perfect,7eQoxWr9RzyCB9IFvqHUPA,7eQoxWr9RzyCB9IFvqHUPA,5,41875.95177083334,eyY0yiDvFdIhXrfDWv9k4g,1,0.2361111111111111,0.5004629629629629,0.0,0.022222222222222223
78,0,2,t1X4SfLLLXKNgGG43TMbiA,this place reminds italian delis back northeast they sell everything from sandwiches entrees desserts wine packaged pastas sauces tried cold sandwiches calzones pizzasall were terrific also tried pasta dishes although sauce decent pasta wasnt homemade cooked properly left more desired food dessert this place makes sells surprising that they wouldnt have homemade pasta they sell wine glass bottle they have special prices happy hour definitely check this place,r5PLDU-4mSbde5XekTXSCA,r5PLDU-4mSbde5XekTXSCA,4,41862.00439814815,CYtKqfxO78q8MN6HX2JnDg,2,0.1748917748917749,0.5216450216450217,-0.002777777777777778,0.14999999999999997
102,0,0,fRGgLBsifCt7lurb25lngg,favorite italian deli everything here good from salad pizza pasta sandwiches just cant wrong,r5PLDU-4mSbde5XekTXSCA,r5PLDU-4mSbde5XekTXSCA,5,43298.65960648148,ofB7A0bOw6JUU_x4zOc2-A,0,0.175,0.625,-0.002777777777777778,0.14999999999999997
108,0,0,qdxZJhNzRkDQ_3Ykl68nFw,ordered pizza from these guys first time saturday normally their yummy sandwiches good very fresh dough delicious better than oreganos highly recommend this place,r5PLDU-4mSbde5XekTXSCA,r5PLDU-4mSbde5XekTXSCA,5,43270.72478009259,bYKHOHxB3v0sd5HLmej1Cg,0,0.45000000000000007,0.6104761904761905,0.005555555555555556,0.14999999999999997
130,0,0,wiOLsIxvBpzmTMBb2hZ_WA,shea used drive through coffee business coffee still yummy drive remains open through lunch kitchen eating area inside tiny maybe tables menu includes homemade baked goods sandwiches many fresh ciabatta salads single entree each night tiny kitchen have tasted about half menu items including caprese bruchetta different daily flatbread pizzas havent found didnt like unexpected aspect with excellant selection alcohal favorite minted lemon drop martini friend enjoys manhattan crown royal they serve honest pour outside enclosed patio which friendly great place relax listen occasional band read book when easiest order register then they bring your food staff friendly informed have their attention once while worth enjoy,qQCsLGMncJp1xWUGnOKCQA,qQCsLGMncJp1xWUGnOKCQA,4,41423.76824074074,y9yLaWKlT2aXLBs50FGvaw,1,0.2111528822055138,0.46873433583959895,0.002777777777777778,0.002777777777777778
146,0,0,qa0oErXv1N--iKGKSJ-ICw,debating moving fear being miles further away from defalcos best pizza sandwiches everything cheese steak must,r5PLDU-4mSbde5XekTXSCA,r5PLDU-4mSbde5XekTXSCA,5,41862.22436342593,tm6yH-OJA3f0HmVMeJdylw,0,0.5,0.4,0.002777777777777778,0.14999999999999997
156,0,1,eaHrddgpMRSujLD_1gIGvw,this store made sandwiches wrong delivery argued with then took sandwiches back delivering right ones minutes later while chips pickles drank half spilt pepper always argument with them filed complaint spoke nice corporate offered make meals really nice right place order exactly same ordered before always order again argument just sandwiches were free whole meal messed with pepper half eating pickle chips dinner dont have time argue with people over something stupid this place absolutely horrible will order pizza employees never again here highly recommend skip jimmy johns,vhIJ91MDgUuk4Cr9Kpj1Nw,vhIJ91MDgUuk4Cr9Kpj1Nw,1,42294.154328703706,qberKVwbPzSmycQwli0eMQ,0,-0.023641456582633058,0.4923389355742297,0.002777777777777778,0.002777777777777778
192,1,2,NJZ0faYaLzB1z9XyKX7Pig,drove past this place when going meet friend starbucks decided drop dinner afterwords since looked like novelty probably best idea weve while from time walked door until left such lovely experience hostess very friendly accommodating helped friend choose something menu seat yourself sort place with lots stools tables inside shaded patio with misters general aesthetic this place very home artistic without being overpriced perfect place laid back afternoon supper they have lots pizzas sandwiches salads wines they also have lovely dessert case general great selection ordered chicken pesto sandwich friend ordered half sandwich same tortilla soup sandwich delicious slices chicken instead chunks which something always appreciate came with cheese pesto artichoke hearts peppers tomatoes came toasted bread came with little scoop potato salad sandwich tangy savory potato salad very light unique blend flavors friends soup flavor without being overwhelmingly spicy overall dinner delightful were also drawn dessert case planned getting cookie because they looked soft ended with brownie right choice absolutely best brownies have ever sticky fudgy chewy bottom almost cake like texture highly recommend youre nice might convince them warm give drizzle caramel chocolate awesome thanks excellent food experience service very good prices enjoyable,wHq1efQVz17338k_aUOX3w,wHq1efQVz17338k_aUOX3w,5,42545.07508101852,7epEyqj5mzpQTbSflXl2vA,1,0.3574272486772486,0.6043716931216931,0.0,0.03333333333333333
199,0,2,kT3Pvmn2fIjbdSYEJ2a9rA,doesnt more authentic than defalcos come here everything wine homemade pizza ingredients pasta gelato course their sandwiches favorites philly cheesesteak unreal dont know they purista portobello mushroom sandwich,r5PLDU-4mSbde5XekTXSCA,r5PLDU-4mSbde5XekTXSCA,5,41468.01,_V3aJ-jl5glHVtLm_6aM2A,2,0.5,0.625,0.0,0.14999999999999997
227,2,3,V_QSr4xfyYr9IbE_AsA2Eg,havent reviewed maizies this place delish reminds bistro used work college they have great menu with sandwiches pizza appetizerspasta maybe their wine selection fantastic their happy hour nice just glad have solid restaurant neighborhood light rail anyone that normal restaurant hours they open past love brunch here sometime this technically hand information husband swears they have best italian sandwich ever,NPiLy71qqXzb45k9eQOgCQ,NPiLy71qqXzb45k9eQOgCQ,5,39790.207037037035,f2sQTkz9jv4VCynx1366kg,3,0.35000000000000003,0.5607142857142856,0.002777777777777778,0.016666666666666666
