,Unnamed: 0,address,attributes,business_id,categories,city,hours,is_open,latitude,longitude,name,postal_code,review_count,stars,state
34,298,2340 E Baseline Rd,"{u'BusinessParking': u'{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}', u'GoodForMeal': u'{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}', u'Alcohol': u'u'none'', u'Caters': u'False', u'HasTV': u'False', u'GoodForKids': u'True', u'NoiseLevel': u'u'average'', u'WiFi': u''no'', u'RestaurantsAttire': u''casual'', u'RestaurantsReservations': u'False', u'OutdoorSeating': u'False', u'BusinessAcceptsCreditCards': u'True', u'RestaurantsPriceRange2': u'2', u'BikeParking': u'True', u'RestaurantsDelivery': u'False', u'Ambience': u'{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}', u'RestaurantsTakeOut': u'True', u'RestaurantsGoodForGroups': u'True', u'DriveThru': u'False', u'RestaurantsTableService': u'False'}",vg4ynLZ0yJ89pT4s_CEMzQ,"Fast Food, Restaurants, Burgers, Food",Phoenix,"{u'Monday': u'11:0-22:0', u'Tuesday': u'11:0-22:0', u'Friday': u'11:0-22:0', u'Wednesday': u'11:0-22:0', u'Thursday': u'11:0-22:0', u'Sunday': u'11:0-22:0', u'Saturday': u'11:0-22:0'}",1,33.3786989221,-112.031013071,Five Guys,85042.0,23,3.5,AZ
73,601,5642 N 27th Ave,"{u'GoodForKids': u'True', u'RestaurantsGoodForGroups': u'True'}",R_18EYQLNho8-xH6FTRymw,"Pizza, Chicken Wings, Burgers, Restaurants",Phoenix,,1,33.5194909639,-112.117371711,Long Wong's Famous Wings,85017.0,8,3.0,AZ
157,1341,9393 E Bell Rd,"{u'GoodForMeal': u'{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': True}', u'Alcohol': u'u'beer_and_wine'', u'Caters': u'True', u'HasTV': u'True', u'GoodForKids': u'True', u'NoiseLevel': u'u'average'', u'WiFi': u'u'free'', u'RestaurantsAttire': u'u'casual'', u'RestaurantsReservations': u'False', u'OutdoorSeating': u'True', u'BusinessAcceptsCreditCards': u'True', u'RestaurantsPriceRange2': u'2', u'BusinessAcceptsBitcoin': u'False', u'BikeParking': u'True', u'RestaurantsDelivery': u'False', u'Ambience': u'{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}', u'RestaurantsTakeOut': u'True', u'RestaurantsGoodForGroups': u'True', u'DriveThru': u'False', u'BusinessParking': u'{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}'}",6nKR80xEGHYf2UxAe_Cu_g,"Farmers Market, Gas Stations, Automotive, Car Wash, Restaurants, Breakfast & Brunch, Burgers, Food, American (Traditional), American (New), Bakeries, Barbeque, Caterers, Event Planning & Services",Scottsdale,"{u'Monday': u'7:0-20:0', u'Tuesday': u'7:0-20:0', u'Friday': u'7:0-21:0', u'Wednesday': u'7:0-20:0', u'Thursday': u'7:0-20:0', u'Sunday': u'7:0-20:0', u'Saturday': u'7:0-21:0'}",1,33.6393699646,-111.879257202,The Thumb BBQ,85260.0,917,4.5,AZ
206,1737,"3400 E Sky Harbor Blvd, Terminal 4, Space T4-F30","{u'BusinessParking': u'{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}', u'GoodForMeal': u'{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': True}', u'RestaurantsTableService': u'False', u'Caters': u'False', u'HasTV': u'False', u'GoodForKids': u'True', u'NoiseLevel': u'u'loud'', u'WiFi': u''no'', u'RestaurantsAttire': u''casual'', u'RestaurantsReservations': u'False', u'OutdoorSeating': u'False', u'BusinessAcceptsCreditCards': u'True', u'RestaurantsPriceRange2': u'1', u'BikeParking': u'False', u'RestaurantsDelivery': u'False', u'Ambience': u'{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}', u'RestaurantsTakeOut': u'True', u'RestaurantsGoodForGroups': u'True', u'DriveThru': u'False', u'Alcohol': u''none''}",0yHY4FHCTOIshPiPc9EYBQ,"Restaurants, Burgers",Phoenix,"{u'Monday': u'7:0-21:0', u'Tuesday': u'7:0-21:0', u'Friday': u'7:0-21:0', u'Wednesday': u'7:0-21:0', u'Thursday': u'7:0-21:0', u'Sunday': u'7:0-21:0', u'Saturday': u'7:0-21:0'}",1,33.435548,-111.997993,Smashburger,85034.0,43,3.5,AZ
216,1806,500 E University Dr,{u'RestaurantsGoodForGroups': u'True'},dQxowi8M1a0F6QFLzp8T7Q,"Bars, Restaurants, Burgers, Beer, Wine & Spirits, Food, Nightlife",Tempe,,0,33.4231472,-111.9328392,Devils Den Sports Grill,85281.0,5,2.5,AZ
309,2559,1616 W Ruby Dr,"{u'Alcohol': u'u'none'', u'HasTV': u'True', u'GoodForKids': u'True', u'NoiseLevel': u''average'', u'RestaurantsAttire': u'u'casual'', u'RestaurantsReservations': u'False', u'OutdoorSeating': u'False', u'BusinessAcceptsCreditCards': u'True', u'RestaurantsPriceRange2': u'1', u'BikeParking': u'True', u'RestaurantsDelivery': u'False', u'Ambience': u'{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}', u'RestaurantsTakeOut': u'True', u'RestaurantsGoodForGroups': u'True', u'BusinessParking': u'{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}'}",Xw2o0GKWxDRMFPR0a4IOoQ,"Pizza, American (Traditional), Burgers, Cafes, Restaurants, American (New)",Tempe,,1,33.3413432,-111.9643591,Life Cafe,85284.0,13,3.5,AZ
317,2612,7369 N Via Paseo Del Sur,,nJPEadWQ0ijyPhACS1PyVQ,"Burgers, Restaurants, Fast Food",Scottsdale,,0,33.5442187,-111.9052801,McDonald's,85258.0,4,4.0,AZ
361,2995,3721 E Thomas Rd,"{u'GoodForMeal': u'{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}', u'GoodForKids': u'False', u'NoiseLevel': u'u'very_loud'', u'WiFi': u''no'', u'RestaurantsAttire': u''casual'', u'RestaurantsReservations': u'False', u'BusinessAcceptsCreditCards': u'True', u'RestaurantsPriceRange2': u'1', u'BikeParking': u'True', u'RestaurantsDelivery': u'False', u'Ambience': u'{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}', u'RestaurantsTakeOut': u'True', u'RestaurantsGoodForGroups': u'False'}",gMWqOTN7MlPce2MyPwYeZg,"Coffee & Tea, Burgers, Restaurants, Food, Fast Food",Phoenix,"{u'Monday': u'6:0-0:0', u'Tuesday': u'6:0-0:0', u'Friday': u'6:0-0:0', u'Wednesday': u'6:0-0:0', u'Thursday': u'6:0-0:0', u'Sunday': u'6:0-0:0', u'Saturday': u'6:0-0:0'}",1,33.4785773,-112.000875,McDonald's,85018.0,7,1.5,AZ
369,3043,545 E Mcdowell,"{u'GoodForMeal': u'{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': True}', u'Alcohol': u'u'none'', u'Caters': u'False', u'HasTV': u'False', u'RestaurantsGoodForGroups': u'True', u'NoiseLevel': u'u'very_loud'', u'WiFi': u'u'free'', u'RestaurantsAttire': u'u'casual'', u'RestaurantsReservations': u'False', u'OutdoorSeating': u'False', u'BusinessAcceptsCreditCards': u'True', u'RestaurantsPriceRange2': u'1', u'BikeParking': u'True', u'RestaurantsTableService': u'False', u'RestaurantsDelivery': u'False', u'Ambience': u'{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}', u'RestaurantsTakeOut': u'True', u'GoodForKids': u'True', u'DriveThru': u'True', u'BusinessParking': u'{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}'}",zLHOG9ty0OcXSQ6iy2BwwA,"Restaurants, Burgers, Coffee & Tea, Fast Food, Food",Phoenix,"{u'Monday': u'4:30-0:0', u'Tuesday': u'4:30-0:0', u'Friday': u'4:30-4:0', u'Wednesday': u'4:30-0:0', u'Thursday': u'4:30-0:0', u'Sunday': u'4:30-0:0', u'Saturday': u'4:30-4:0'}",1,33.4650899155,-112.065566406,McDonald's,85007.0,33,2.0,AZ
382,3194,3218 S Mcclintock Rd,"{u'GoodForMeal': u'{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': True}', u'Alcohol': u'u'none'', u'Caters': u'False', u'HasTV': u'True', u'GoodForKids': u'True', u'NoiseLevel': u'u'average'', u'WiFi': u'u'free'', u'RestaurantsAttire': u'u'casual'', u'RestaurantsReservations': u'False', u'OutdoorSeating': u'False', u'BusinessAcceptsCreditCards': u'True', u'RestaurantsPriceRange2': u'1', u'BikeParking': u'True', u'RestaurantsDelivery': u'False', u'Ambience': u'{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}', u'RestaurantsTakeOut': u'True', u'RestaurantsGoodForGroups': u'True', u'BusinessParking': u'{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}'}",A501H7iyCmHFovaZ8L3Pkg,"Fast Food, Burgers, Restaurants, Food, Coffee & Tea",Tempe,"{u'Monday': u'0:0-0:0', u'Tuesday': u'0:0-0:0', u'Friday': u'0:0-0:0', u'Wednesday': u'0:0-0:0', u'Thursday': u'0:0-0:0', u'Sunday': u'0:0-0:0', u'Saturday': u'0:0-0:0'}",1,33.3944389879,-111.909525096,McDonald's,85282.0,43,2.0,AZ
